MLS#,Original List Price,Rented Price,Price Change,Percentage Change,SF,Price/SF,List Date,Rented Date,Calculated DOM,Year Built,Pool,Waterfront,Pets Allowed,GAR,Last List Price,Available Date,Last Status Change Date,System DOM,City Name,State,Zip Code,Subdivision Name,BE,BA
A11729680,"$4,100 ","$4,100 ",$0 ,0.00%,"1,004",4.08,01/30/2025,02/27/2025,28,2018,Yes,Yes,Yes,1,"$4,100 ",02/03/2025,03/07/2025,36,Miami,FL,33137,PARAISO BAYVIEWS CONDO,2,2
A11659015,"$3,800 ","$3,800 ",$0 ,0.00%,"1,104",3.44,09/12/2024,02/27/2025,168,2008,Yes,No,No,1,"$3,800 ",12/20/2024,02/27/2025,125,Miami,FL,33130,THE AXIS ON BRICKELL II C,2,2
A11696242,"$4,400 ","$4,100 ",$300 ,6.82%,"1,169",3.51,11/19/2024,02/26/2025,99,2005,Yes,Yes,No,1,"$4,200 ",12/16/2024,02/26/2025,93,Miami,FL,33131,ONE MIAMI WEST CONDO,2,2
F10466458,"$3,500 ","$3,400 ",$100 ,2.86%,929,3.66,10/15/2024,02/25/2025,133,2008,No,No,No,1,"$3,400 ",12/15/2024,03/07/2025,111,Miami,FL,33132,Vizcayne North Condo,2,2
A11712314,"$4,750 ","$4,500 ",$250 ,5.26%,924,4.87,12/20/2024,02/24/2025,66,2017,Yes,No,Yes,1,"$4,650 ",01/31/2025,02/25/2025,62,Miami,FL,33130,BRICKELL HEIGHTS EAST CON,2,2
A11735853,"$3,800 ","$3,650 ",$150 ,3.95%,"1,227",2.97,01/31/2025,02/24/2025,24,2005,No,Yes,No,1,"$3,800 ",01/31/2025,03/05/2025,10,Miami,FL,33131,ONE MIAMI WEST CONDO,2,2
A11732700,"$3,000 ","$3,000 ",$0 ,0.00%,"1,048",2.86,01/27/2025,02/24/2025,28,2008,Yes,No,No,1,"$3,000 ",01/27/2025,02/25/2025,29,Miami,FL,33132,OPERA TOWER CONDO,2,2
A11722219,"$3,200 ","$3,200 ",$0 ,0.00%,"1,134",2.82,01/20/2025,02/21/2025,32,2008,No,No,Yes,1,"$3,200 ",01/10/2025,02/24/2025,18,Miami,FL,33129,BRICKELL ROADS ATRIUMS CO,2,2
A11695751,"$2,900 ","$2,900 ",$0 ,0.00%,957,3.03,11/18/2024,02/21/2025,95,2008,No,No,Yes,1,"$2,900 ",11/18/2024,02/24/2025,79,Miami,FL,33129,BRICKELL ROADS ATRIUMS CO,2,2
A11728822,"$4,500 ","$4,400 ",$100 ,2.22%,"1,110",3.96,01/23/2025,02/21/2025,29,2010,Yes,Yes,Yes,1,"$4,500 ",02/01/2025,02/21/2025,8,Miami,FL,33130,MINT CONDO,2,2
A11674897,"$3,500 ","$3,200 ",$300 ,8.57%,"1,048",3.05,10/11/2024,02/19/2025,131,2008,Yes,No,Yes,1,"$3,250 ",11/01/2024,02/20/2025,125,Miami,FL,33132,OPERA TOWER CONDO,2,2
A11710795,"$4,500 ","$4,400 ",$100 ,2.22%,"1,165",3.78,12/17/2024,02/17/2025,62,2015,Yes,No,Yes,1,"$4,450 ",02/03/2025,02/18/2025,50,Miami,FL,33130,1100 MILLECENTO RESIDENCE,2,2
A11719312,"$2,900 ","$2,900 ",$0 ,0.00%,963,3.01,01/07/2025,02/17/2025,41,2005,Yes,No,Yes,1,"$2,900 ",01/07/2025,02/19/2025,21,Miami,FL,33137,THE YORKER CONDO,2,2
A11731489,"$4,500 ","$4,300 ",$200 ,4.44%,"1,154",3.73,01/24/2025,02/15/2025,22,2007,Yes,Yes,No,1,"$4,500 ",01/24/2025,02/19/2025,9,Miami,FL,33132,1800 Club Condo,2,2
A11726661,"$4,000 ","$4,000 ",$0 ,0.00%,"1,374",2.91,01/16/2025,02/15/2025,30,2007,Yes,Yes,Yes,1,"$4,000 ",02/01/2025,02/15/2025,15,Miami,FL,33132,1800 CLUB CONDO,2,2
A11665395,"$4,000 ","$3,500 ",$500 ,12.50%,977,3.58,09/25/2024,02/15/2025,143,2016,Yes,No,Yes,0,"$3,500 ",09/25/2024,03/05/2025,134,Miami,FL,33131,CENTRO CONDO,2,2
A11644079,"$3,150 ","$2,750 ",$400 ,12.70%,"1,231",2.23,08/19/2024,02/15/2025,180,2007,Yes,No,No,1,"$2,800 ",01/01/2025,03/10/2025,143,Miami,FL,33156,DOWNTOWN DADELAND CONDO N,2,2
A11724684,"$2,800 ","$2,700 ",$100 ,3.57%,950,2.84,01/21/2025,02/15/2025,25,2007,Yes,No,Yes,1,"$2,800 ",01/20/2025,02/24/2025,34,Miami,FL,33128,HAVANA LOFTS CONDO,2,2
A11701679,"$4,100 ","$3,980 ",$120 ,2.93%,986,4.04,12/01/2024,02/15/2025,76,2008,Yes,Yes,No,1,"$4,100 ",12/01/2024,02/16/2025,57,Miami,FL,33131,THE PLAZA 851 BRICKELL CO,2,2
A11702709,"$4,200 ","$3,800 ",$400 ,9.52%,"1,113",3.41,12/03/2024,02/15/2025,74,2008,Yes,No,Yes,1,"$4,200 ",11/26/2024,02/18/2025,77,Miami,FL,33131,THE PLAZA 901 BRICKELL CO,2,2
A11729197,"$4,500 ","$4,250 ",$250 ,5.56%,"1,494",2.84,01/21/2025,02/14/2025,24,2015,Yes,No,Yes,0,"$4,500 ",01/21/2025,02/14/2025,14,Miami,FL,33130,NINE AT MARY BRICKELL,2,2
A11651525,"$4,250 ","$3,850 ",$400 ,9.41%,"1,200",3.21,09/01/2024,02/13/2025,165,2008,Yes,No,Yes,2,"$3,950 ",09/01/2024,02/13/2025,137,Miami,FL,33131,500 BRICKELL WEST CONDO,2,2
A11699582,"$3,200 ","$3,000 ",$200 ,6.25%,"1,153",2.6,11/25/2024,02/11/2025,78,2007,Yes,No,No,1,"$3,200 ",11/25/2024,03/13/2025,67,Miami,FL,33132,THE LOFT II,2,2
A11697032,"$3,600 ","$3,400 ",$200 ,5.56%,"1,006",3.38,11/20/2024,02/11/2025,83,2008,Yes,No,No,1,"$3,600 ",12/01/2024,02/11/2025,68,Miami,FL,33132,VIZCAYNE SOUTH CONDO,2,2
A11701213,"$3,750 ","$3,750 ",$0 ,0.00%,"1,058",3.54,12/07/2024,02/09/2025,64,2008,Yes,Yes,No,1,"$3,750 ",12/06/2024,02/09/2025,45,Miami,FL,33132,VIZCAYNE SOUTH CONDO,2,2
A11595411,"$4,000 ","$2,900 ","$1,100 ",27.50%,977,2.97,05/28/2024,02/07/2025,255,2016,Yes,No,No,0,"$2,850 ",05/28/2024,02/10/2025,252,Miami,FL,33131,CENTRO CONDO,2,2
R11030732,"$4,100 ","$3,500 ",$600 ,14.63%,"1,104",3.17,10/22/2024,02/07/2025,108,2008,No,No,,1,"$3,750 ",10/22/2024,02/08/2025,107,Miami,FL,33132,QUANTUM ON THE BAY CONDO ,2,2
F10479525,"$2,700 ","$2,700 ",$0 ,0.00%,965,2.8,01/07/2025,02/05/2025,29,2006,Yes,No,No,2,"$2,700 ",01/15/2025,03/18/2025,16,Miami,FL,33126,Mediterranea Condo,2,2
A11714210,"$4,000 ","$3,850 ",$150 ,3.75%,"1,203",3.2,12/26/2024,02/05/2025,41,2008,No,No,Yes,0,"$4,000 ",12/26/2024,02/05/2025,32,Miami,FL,33132,VIZCAYNE NORTH CONDO,2,2
A11710793,"$4,700 ","$4,400 ",$300 ,6.38%,"1,073",4.1,12/17/2024,02/03/2025,48,2015,Yes,Yes,Yes,1,"$4,700 ",02/01/2025,02/03/2025,27,Miami,FL,33137,ICON BAY CONDO,2,2
A11711401,"$4,300 ","$4,000 ",$300 ,6.98%,"1,099",3.64,12/17/2024,02/03/2025,48,2010,No,Yes,No,1,"$4,000 ",01/01/2025,02/18/2025,31,Miami,FL,33130,MINT CONDO,2,2
A11676646,"$4,225 ","$4,050 ",$175 ,4.14%,986,4.11,10/15/2024,02/03/2025,111,2008,Yes,No,Yes,1,"$4,150 ",10/15/2024,02/03/2025,70,Miami,FL,33131,THE PLAZA 851 BRICKELL CO,2,2
A11697541,"$3,850 ","$3,700 ",$150 ,3.90%,"1,075",3.44,11/20/2024,02/03/2025,75,2008,Yes,No,No,1,"$3,850 ",01/08/2025,02/04/2025,59,Miami,FL,33130,WIND CONDO,2,2
A11694616,"$3,000 ","$2,850 ",$150 ,5.00%,791,3.6,11/15/2024,02/01/2025,78,2016,Yes,No,Yes,0,"$2,900 ",12/01/2024,02/06/2025,64,Miami,FL,33131,CENTRO CONDO,2,2
A11700311,"$3,900 ","$3,900 ",$0 ,0.00%,"1,178",3.31,11/26/2024,02/01/2025,67,2005,Yes,Yes,Yes,1,"$3,900 ",11/26/2024,02/04/2025,47,Miami,FL,33131,ONE MIAMI EAST CONDO,2,2
A11696856,"$3,800 ","$3,500 ",$300 ,7.89%,"1,105",3.17,11/19/2024,02/01/2025,74,2005,Yes,No,No,1,"$3,600 ",11/19/2024,02/01/2025,66,Miami,FL,33131,THE CLUB AT BRICKELL BAY,2,2
A11615815,"$4,200 ","$3,950 ",$250 ,5.95%,"1,197",3.3,07/01/2024,01/31/2025,214,2008,No,No,No,1,"$3,950 ",08/06/2024,02/06/2025,220,Miami,FL,33131,500 BRICKELL EAST CONDO,2,2
A11681591,"$4,590 ","$4,400 ",$190 ,4.14%,"1,123",3.92,10/16/2024,01/31/2025,107,2008,Yes,No,Yes,1,"$4,590 ",11/22/2024,02/04/2025,89,Miami,FL,33131,500 BRICKELL WEST CONDO,2,2
A11615576,"$3,899 ","$3,200 ",$699 ,17.93%,"1,267",2.53,07/04/2024,01/31/2025,211,2006,Yes,Yes,No,1,"$3,500 ",07/12/2024,02/06/2025,189,Miami,FL,33131,BRICKELL ON THE RIVER S T,2,2
A11728155,"$3,000 ","$3,000 ",$0 ,0.00%,"1,053",2.85,01/20/2025,01/31/2025,11,2008,No,No,Yes,1,"$3,000 ",01/20/2025,01/31/2025,10,Miami,FL,33129,BRICKELL ROADS ATRIUMS CO,2,2
A11702662,"$3,275 ","$3,275 ",$0 ,0.00%,829,3.95,12/03/2024,01/31/2025,59,2007,Yes,No,No,2,"$3,275 ",01/15/2025,02/04/2025,36,Miami,FL,33129,BRICKELL VIEW WEST CONDO,2,2
A11712707,"$4,300 ","$4,000 ",$300 ,6.98%,"1,099",3.64,12/12/2024,01/31/2025,50,2010,Yes,No,No,1,"$4,100 ",12/20/2024,01/31/2025,50,Miami,FL,33130,MINT CONDO,2,2
A11693153,"$3,400 ","$3,275 ",$125 ,3.68%,"1,380",2.37,12/02/2024,01/31/2025,60,2010,Yes,Yes,Yes,2,"$3,400 ",01/13/2025,02/04/2025,64,Miami,FL,33125,TERRAZAS RIVERPARK VILLAG,2,2
A11665163,"$2,850 ","$2,600 ",$250 ,8.77%,888,2.93,09/24/2024,01/31/2025,129,2010,No,No,Yes,1,"$2,750 ",09/25/2024,02/04/2025,107,Miami,FL,33125,TERRAZAS RIVERPARK VILLAG,2,2
A11722940,"$3,600 ","$3,550 ",$50 ,1.39%,"1,090",3.26,01/12/2025,01/31/2025,19,2006,Yes,Yes,Yes,1,"$3,600 ",02/03/2025,02/02/2025,21,Miami,FL,33131,THE SAIL CONDO,2,2
A11647814,"$3,400 ","$2,750 ",$650 ,19.12%,850,3.24,08/26/2024,01/30/2025,157,2007,No,No,Yes,1,"$2,750 ",08/26/2024,01/30/2025,137,Miami,FL,33130,PARKVIEW AT BRICKELL COND,2,2
A11715624,"$3,400 ","$3,400 ",$0 ,0.00%,"1,015",3.35,01/03/2025,01/30/2025,27,2006,No,No,Yes,1,"$3,400 ",12/31/2024,01/30/2025,24,Miami,FL,33131,SOLARIS AT BRICKELL BAY C,2,2
A11700449,"$4,100 ","$4,000 ",$100 ,2.44%,"1,104",3.62,11/26/2024,01/30/2025,65,2008,Yes,No,No,2,"$4,100 ",01/17/2025,01/30/2025,28,Miami,FL,33130,THE AXIS ON BRICKELL II C,2,2
A11656707,"$3,500 ","$3,300 ",$200 ,5.71%,942,3.5,09/10/2024,01/30/2025,142,2006,Yes,Yes,No,0,"$3,350 ",10/06/2024,01/30/2025,142,Miami,FL,33131,THE SAIL CONDO,2,2
A11706786,"$3,250 ","$3,000 ",$250 ,7.69%,"1,036",2.9,12/09/2024,01/29/2025,51,2008,Yes,No,Yes,1,"$3,250 ",12/15/2024,01/29/2025,51,Miami,FL,33137,CITY 24 CONDO,2,2
A11684382,"$4,000 ","$3,900 ",$100 ,2.50%,"1,013",3.85,10/29/2024,01/29/2025,92,2008,Yes,No,Yes,1,"$3,895 ",10/29/2024,01/29/2025,89,Miami,FL,33130,THE AXIS ON BRICKELL II C,2,2
A11697000,"$3,800 ","$3,600 ",$200 ,5.26%,"1,144",3.15,11/20/2024,01/27/2025,68,2007,Yes,Yes,No,1,"$3,600 ",01/06/2025,02/06/2025,63,Miami,FL,33132,1800 CLUB CONDO,2,2
A11678057,"$3,500 ","$3,200 ",$300 ,8.57%,"1,140",2.81,10/17/2024,01/27/2025,102,2008,No,No,No,0,"$3,500 ",10/17/2024,01/31/2025,78,Miami,FL,33132,VIZCAYNE NORTH CONDO,2,2
A11703910,"$4,000 ","$3,900 ",$100 ,2.50%,"1,267",3.08,12/04/2024,01/26/2025,53,2006,Yes,Yes,No,1,"$4,000 ",01/05/2025,01/28/2025,47,Miami,FL,33131,Brickell on the River ST,2,2
A11698092,"$3,450 ","$3,200 ",$250 ,7.25%,"1,145",2.79,11/21/2024,01/23/2025,63,2006,Yes,Yes,No,1,"$3,450 ",11/21/2024,01/23/2025,35,Miami,FL,33131,SOLARIS AT BRICKELL BAY C,2,2
A11703903,"$3,800 ","$3,700 ",$100 ,2.63%,"1,075",3.44,12/04/2024,01/23/2025,50,2008,Yes,Yes,No,1,"$3,800 ",12/04/2024,01/24/2025,51,Miami,FL,33130,WIND CONDO,2,2
A11631830,"$3,600 ","$3,500 ",$100 ,2.78%,929,3.77,08/01/2024,01/22/2025,174,2008,Yes,No,No,1,"$3,500 ",08/05/2024,01/24/2025,160,Miami,FL,33132,VIZCAYNE SOUTH CONDO,2,2
A11711556,"$3,600 ","$3,500 ",$100 ,2.78%,"1,048",3.34,12/18/2024,01/22/2025,35,2008,Yes,Yes,No,1,"$3,600 ",12/18/2024,01/22/2025,28,Miami,FL,33130,WIND CONDO,2,2
A11718702,"$3,000 ","$3,000 ",$0 ,0.00%,997,3.01,01/07/2025,01/21/2025,14,2006,Yes,No,No,2,"$3,000 ",01/06/2025,02/03/2025,7,Miami,FL,33133,GATEWAY TO THE GROVE COND,2,2
A11672375,"$2,975 ","$2,750 ",$225 ,7.56%,764,3.6,10/07/2024,01/20/2025,105,2007,No,No,Yes,1,"$2,750 ",11/11/2024,01/21/2025,93,Miami,FL,33130,PARKVIEW AT BRICKELL COND,2,2
A11660268,"$3,900 ","$3,850 ",$50 ,1.28%,"1,117",3.45,09/24/2024,01/15/2025,113,2006,Yes,No,No,1,"$3,900 ",09/24/2024,01/15/2025,83,Miami,FL,33131,BRICKELL ON THE RIVER N T,2,2
A11711471,"$3,900 ","$3,900 ",$0 ,0.00%,944,4.13,12/18/2024,01/15/2025,28,2018,Yes,No,No,1,"$3,900 ",12/23/2024,01/15/2025,28,Miami,FL,33137,PARAISO BAYVIEWS,2,2
A11682243,"$4,000 ","$4,000 ",$0 ,0.00%,"1,369",2.92,10/24/2024,01/15/2025,83,2010,Yes,Yes,Yes,2,"$4,000 ",01/02/2025,01/15/2025,69,Miami,FL,33125,TERRAZAS RIVERPARK VILLAG,2,2
A11700893,"$2,900 ","$2,900 ",$0 ,0.00%,"1,036",2.8,11/27/2024,01/15/2025,49,2007,Yes,No,Yes,0,"$2,900 ",11/27/2024,01/17/2025,51,Miami,FL,33132,THE LOFT DOWNTOWN II COND,2,2
A11668176,"$3,800 ","$3,450 ",$350 ,9.21%,"1,169",2.95,10/01/2024,01/13/2025,104,2005,Yes,Yes,No,1,"$3,450 ",10/01/2024,01/15/2025,80,Miami,FL,33131,ONE MIAMI EAST CONDO,2,2
A11704760,"$4,150 ","$3,950 ",$200 ,4.82%,"1,181",3.34,12/05/2024,01/09/2025,35,2008,Yes,No,Yes,1,"$3,950 ",01/15/2025,01/09/2025,15,Miami,FL,33137,FOUR MIDTOWN MIAMI CONDO,2,2
A11703965,"$2,650 ","$2,650 ",$0 ,0.00%,"1,125",2.36,12/04/2024,01/09/2025,36,2006,Yes,No,No,2,"$2,650 ",12/04/2024,01/09/2025,36,Miami,FL,33126,KEYSTONE PARK CONDO,2,2
A11678712,"$2,750 ","$2,750 ",$0 ,0.00%,850,3.24,10/18/2024,01/09/2025,83,2007,No,No,Yes,1,"$2,700 ",12/01/2024,01/13/2025,81,Miami,FL,33130,PARKVIEW AT BRICKELL COND,2,2
A11693565,"$2,600 ","$2,600 ",$0 ,0.00%,"1,234",2.11,11/14/2024,01/09/2025,56,2007,Yes,No,Yes,0,"$2,600 ",11/14/2024,01/09/2025,56,Miami,FL,33179,SKYLOFTS CONDO,2,2
A11703970,"$4,750 ","$4,500 ",$250 ,5.26%,868,5.18,12/04/2024,01/08/2025,35,2016,Yes,No,No,1,"$4,750 ",12/04/2024,01/10/2025,6,Miami,FL,33130,1300 S MIAMI AVENUE CONDO,2,2
