MLS#,Original List Price,Rented Price,Price Change,Percentage Change,SF,Price/SF,List Date,Rented Date,Calculated DOM,Year Built,Pool,Waterfront,Pets Allowed,GAR,Last List Price,Available Date,Last Status Change Date,System DOM,City Name,State,Zip Code,Subdivision Name,BE,BA
A11340638,"$3,000 ","$2,900 ",$100 ,3.33%,"1,247",2.33,02/08/2023,03/24/2023,44,2007,Yes,No,No,2,"$2,900 ",02/08/2023,03/28/2023,26,Miami,FL,33145,CATALONIA CONDO,2,2
A11333103,"$3,700 ","$3,200 ",$500 ,13.51%,"1,048",3.05,01/25/2023,03/22/2023,56,2007,Yes,Yes,Yes,1,"$3,200 ",03/01/2023,03/29/2023,43,Miami,FL,33132,OPERA TOWER CONDO,2,2
A11307635,"$4,200 ","$3,750 ",$450 ,10.71%,"1,110",3.38,11/23/2022,03/21/2023,118,2006,Yes,No,Yes,1,"$3,800 ",01/25/2023,03/21/2023,110,Miami,FL,33131,BRICKELL ON THE RIVER N T,2,2
A11324789,"$4,300 ","$4,200 ",$100 ,2.33%,"1,357",3.1,01/10/2023,03/20/2023,69,2007,Yes,No,No,1,"$4,300 ",02/01/2023,03/21/2023,42,Miami,FL,33132,50 BISCAYNE CONDO,2,2
A11339015,"$3,700 ","$3,700 ",$0 ,0.00%,"1,075",3.44,02/06/2023,03/20/2023,42,2008,Yes,Yes,Yes,1,"$3,700 ",02/13/2023,03/20/2023,42,Miami,FL,33130,WIND CONDO,2,2
A11311528,"$4,200 ","$3,600 ",$600 ,14.29%,"1,006",3.58,12/06/2022,03/17/2023,101,2008,Yes,No,No,1,"$4,200 ",02/01/2023,03/27/2023,111,Miami,FL,33131,MET 1 CONDO,2,2
A11341561,"$4,000 ","$3,900 ",$100 ,2.50%,"1,121",3.48,02/10/2023,03/16/2023,34,2010,Yes,No,Yes,1,"$4,000 ",02/10/2023,03/20/2023,38,Miami,FL,33130,MINT CONDO,2,2
A11325100,"$3,700 ","$3,300 ",$400 ,10.81%,"1,068",3.09,01/10/2023,03/15/2023,64,2008,Yes,No,Yes,1,"$3,500 ",03/06/2023,03/20/2023,57,Miami,FL,33137,GALLERY ART CONDO,2,2
A11327199,"$3,700 ","$3,700 ",$0 ,0.00%,"1,119",3.31,01/13/2023,03/15/2023,61,2008,Yes,No,Yes,1,"$3,700 ",02/07/2023,03/29/2023,33,Miami,FL,33130,THE AXIS ON BRICKELL COND,2,2
A11319800,"$3,499 ","$3,100 ",$399 ,11.40%,"1,153",2.69,12/27/2022,03/15/2023,78,2007,Yes,No,No,1,"$3,100 ",01/27/2023,03/20/2023,63,Miami,FL,33132,THE LOFT DOWNTOWN II COND,2,2
A11321205,"$4,450 ","$4,050 ",$400 ,8.99%,"1,110",3.65,01/02/2023,03/14/2023,71,2018,Yes,No,Yes,2,"$4,100 ",02/01/2023,03/14/2023,57,Miami,FL,33132,CANVAS CONDO,2,2
A11340568,"$4,000 ","$3,400 ",$600 ,15.00%,"1,048",3.24,02/09/2023,03/13/2023,32,2007,Yes,Yes,Yes,417,"$3,500 ",03/01/2023,03/31/2023,22,Miami,FL,33132,OPERA TOWER CONDO,2,2
A11340345,"$3,450 ","$3,250 ",$200 ,5.80%,"1,068",3.04,02/08/2023,03/11/2023,31,2008,Yes,No,Yes,1,"$3,450 ",02/08/2023,03/14/2023,16,Miami,FL,33137,GALLERY ART CONDO,2,2
A11333009,"$3,350 ","$3,350 ",$0 ,0.00%,"1,048",3.2,01/25/2023,03/10/2023,44,2008,Yes,No,Yes,1,"$3,350 ",01/25/2023,03/10/2023,30,Miami,FL,33137,GALLERY ART CONDO,2,2
A11339291,"$4,000 ","$4,100 ",($100),-2.50%,"1,119",3.66,02/06/2023,03/07/2023,29,2008,Yes,No,Yes,2,"$4,000 ",03/10/2023,03/07/2023,9,Miami,FL,33130,Axis on Briclell,2,2
F10364570,"$4,500 ","$4,500 ",$0 ,0.00%,"1,267",3.55,01/12/2023,03/06/2023,53,2006,Yes,Yes,Yes,1,"$4,200 ",01/13/2023,03/08/2023,55,Miami,FL,33131,BOR South,2,2
A11320089,"$4,500 ","$4,000 ",$500 ,11.11%,864,4.63,12/28/2022,03/06/2023,68,2018,Yes,No,Yes,1,"$4,200 ",02/01/2023,03/06/2023,68,Miami,FL,33137,HYDE MIDTOWN,2,2
A11331680,"$3,900 ","$3,650 ",$250 ,6.41%,"1,180",3.09,01/23/2023,03/06/2023,42,2007,No,Yes,No,0,"$3,900 ",01/23/2023,03/06/2023,42,Miami,FL,33132,QUANTUM ON THE BAY CONDO,2,2
A11322813,"$2,650 ","$2,670 ",($20),-0.75%,950,2.81,01/05/2023,03/03/2023,57,2007,Yes,No,No,0,"$2,650 ",02/15/2023,03/06/2023,29,Miami,FL,33128,HAVANA LOFTS CONDO,2,2
A11333376,"$4,200 ","$4,000 ",$200 ,4.76%,"1,043",3.84,01/25/2023,03/03/2023,37,2008,Yes,Yes,No,1,"$4,000 ",02/01/2023,03/04/2023,24,Miami,FL,33132,QUANTUM ON THE BAY CONDO,2,2
A11334898,"$4,100 ","$4,400 ",($300),-7.32%,"1,373",3.2,01/30/2023,03/02/2023,31,2015,Yes,No,Yes,2,"$4,450 ",02/01/2023,03/02/2023,14,Miami,FL,33130,NINE AT MARY BRICKELL VIL,2,2
A11329203,"$4,500 ","$4,350 ",$150 ,3.33%,"1,028",4.23,01/18/2023,03/01/2023,42,2017,Yes,No,No,1,"$4,500 ",02/15/2023,03/08/2023,7,Miami,FL,33131,1010 BRICKELL CONDO,2,2
A11289252,"$4,500 ","$4,100 ",$400 ,8.89%,"1,307",3.14,10/16/2022,03/01/2023,136,2007,Yes,Yes,No,1,"$4,250 ",12/01/2022,03/03/2023,106,Miami,FL,33132,1800 CLUB CONDO,2,2
A11322858,"$3,950 ","$3,600 ",$350 ,8.86%,999,3.6,01/05/2023,03/01/2023,55,2015,Yes,No,No,1,"$3,850 ",01/09/2023,03/02/2023,32,Miami,FL,33137,4250 BISCAYNE BLVD,2,2
A11217903,"$5,500 ","$3,600 ","$1,900 ",34.55%,"1,183",3.04,06/06/2022,03/01/2023,268,2015,Yes,No,Yes,1,"$4,100 ",06/06/2022,03/03/2023,266,Miami,FL,33137,4250 BISCAYNE BOULEVARD C,2,2
A11332669,"$4,500 ","$4,300 ",$200 ,4.44%,"1,256",3.42,01/24/2023,03/01/2023,36,2007,Yes,Yes,No,1,"$4,300 ",03/06/2023,03/15/2023,49,Miami,FL,33132,50 BISCAYNE CONDO,2,2
A11324544,"$4,200 ","$4,200 ",$0 ,0.00%,"1,357",3.1,01/09/2023,03/01/2023,51,2007,Yes,Yes,Yes,1,"$4,200 ",03/01/2023,04/17/2023,12,Miami,FL,33132,50 BISCAYNE CONDO,2,2
A11325858,"$4,200 ","$4,100 ",$100 ,2.38%,"1,051",3.9,01/11/2023,03/01/2023,49,2006,Yes,Yes,No,1,"$4,200 ",03/01/2023,03/01/2023,26,Miami,FL,33131,BRICKELL ON THE RIVER N T,2,2
A11350012,"$3,900 ","$3,900 ",$0 ,0.00%,"1,051",3.71,03/01/2023,03/01/2023,0,2006,Yes,Yes,Yes,1,"$3,900 ",03/01/2023,03/10/2023,2,Miami,FL,33131,BRICKELL ON THE RIVER N T,2,2
A11322773,"$4,500 ","$4,250 ",$250 ,5.56%,"1,267",3.35,01/01/2023,03/01/2023,59,2008,Yes,Yes,No,1,"$4,250 ",01/15/2023,03/10/2023,60,Miami,FL,33131,BRICKELL ON THE RIVER S T,2,2
A11333552,"$4,000 ","$4,000 ",$0 ,0.00%,"1,267",3.16,01/26/2023,03/01/2023,34,2006,Yes,Yes,Yes,2,"$4,000 ",02/25/2023,03/01/2023,16,Miami,FL,33131,BRICKELL ON THE RIVER S T,2,2
A11342477,"$4,000 ","$4,000 ",$0 ,0.00%,"1,263",3.17,02/13/2023,03/01/2023,16,2008,Yes,Yes,Yes,1,"$4,000 ",02/13/2023,03/13/2023,1,Miami,FL,33137,FOUR MIDTOWN MIAMI CONDO,2,2
A11322690,"$2,700 ","$2,600 ",$100 ,3.70%,950,2.74,01/05/2023,03/01/2023,55,2007,Yes,Yes,No,1,"$2,600 ",01/05/2023,03/01/2023,50,Miami,FL,33128,HAVANA LOFTS CONDO,2,2
A11284423,"$4,500 ","$3,600 ",$900 ,20.00%,"1,006",3.58,10/08/2022,03/01/2023,144,2008,Yes,Yes,Yes,1,"$4,000 ",12/12/2022,03/02/2023,129,Miami,FL,33131,MET 1 CONDO,2,2
A11306238,"$5,800 ","$4,500 ","$1,300 ",22.41%,"1,067",4.22,11/22/2022,03/01/2023,99,2018,Yes,No,Yes,1,"$4,700 ",11/22/2022,03/10/2023,84,Miami,FL,33137,PARAISO BAY CONDO,2,2
A11301277,"$4,100 ","$3,850 ",$250 ,6.10%,"1,363",2.82,11/10/2022,03/01/2023,111,2008,Yes,Yes,Yes,1,"$3,850 ",12/19/2022,03/06/2023,67,Miami,FL,33132,VIZCAYNE NORTH CONDO,2,2
A11322137,"$3,750 ","$3,650 ",$100 ,2.67%,"1,105",3.3,01/04/2023,02/28/2023,55,2005,Yes,Yes,Yes,1,"$3,750 ",01/04/2023,02/28/2023,31,Miami,FL,33131,ONE MIAMI WEST CONDO,2,2
A11318185,"$3,650 ","$3,400 ",$250 ,6.85%,"1,048",3.24,01/05/2023,02/24/2023,50,2008,No,Yes,Yes,1,"$3,650 ",01/01/2023,02/24/2023,41,Miami,FL,33130,WIND CONDO,2,2
A11273194,"$4,200 ","$3,900 ",$300 ,7.14%,944,4.13,09/14/2022,02/22/2023,161,2018,Yes,No,Yes,1,"$4,000 ",09/15/2022,02/22/2023,161,Miami,FL,33137,PARAISO BAYVIEWS CONDO,2,2
A11314346,"$3,750 ","$3,600 ",$150 ,4.00%,"1,048",3.44,12/12/2022,02/21/2023,71,2008,No,No,Yes,1,"$3,750 ",02/01/2023,02/21/2023,53,Miami,FL,33137,GALLERY ART CONDO,2,2
A11330786,"$3,300 ","$3,500 ",($200),-6.06%,"1,006",3.48,01/20/2023,02/21/2023,32,2008,Yes,No,Yes,1,"$3,300 ",02/01/2023,02/21/2023,0,Miami,FL,33132,VIZCAYNE NORTH CONDO,2,2
A11337638,"$4,300 ","$4,300 ",$0 ,0.00%,"1,256",3.42,02/03/2023,02/20/2023,17,2007,Yes,No,Yes,1,"$4,300 ",02/02/2023,02/27/2023,7,Miami,FL,33132,50 BISCAYNE CONDO,2,2
F10357520,"$4,000 ","$3,700 ",$300 ,7.50%,"1,105",3.35,11/22/2022,02/20/2023,90,2005,Yes,Yes,No,2,"$3,700 ",11/22/2022,02/20/2023,65,Miami,FL,33131,ONE MIAMI EAST CONDO,2,2
A11328085,"$3,600 ","$3,600 ",$0 ,0.00%,"1,088",3.31,01/16/2023,02/18/2023,33,2008,Yes,No,Yes,1,"$3,600 ",02/08/2023,02/20/2023,7,Miami,FL,33131,1060 BRICKELL CONDO,2,2
A11312565,"$4,000 ","$4,000 ",$0 ,0.00%,921,4.34,12/16/2022,02/17/2023,63,2015,Yes,No,Yes,1,"$4,000 ",02/15/2023,02/17/2023,19,Miami,FL,33130,1100 MILLECENTO RESIDENCE,2,2
A11325105,"$3,950 ","$3,950 ",$0 ,0.00%,"1,110",3.56,01/10/2023,02/17/2023,38,2006,Yes,Yes,No,1,"$3,950 ",01/10/2023,05/18/2023,89,Miami,FL,33131,BRICKELL ON THE RIVER N T,2,2
A11284872,"$4,500 ","$3,800 ",$700 ,15.56%,996,3.82,10/06/2022,02/17/2023,134,2015,Yes,No,No,1,"$4,000 ",11/01/2022,02/22/2023,123,Miami,FL,33130,MILLECENTO,2,2
A11332183,"$2,500 ","$2,500 ",$0 ,0.00%,803,3.11,01/24/2023,02/17/2023,24,2007,Yes,No,No,0,"$2,500 ",01/24/2023,02/24/2023,16,Miami,FL,33128,SAN LORENZO CONDO,2,2
A11285006,"$3,600 ","$3,100 ",$500 ,13.89%,"1,347",2.3,10/06/2022,02/16/2023,133,2008,Yes,Yes,Yes,1,"$3,100 ",01/12/2023,02/17/2023,131,Miami,FL,33143,COLONNADE AT DADELAND SW,2,2
A11305203,"$3,000 ","$2,750 ",$250 ,8.33%,"1,156",2.38,11/23/2022,02/16/2023,85,2007,Yes,No,Yes,1,"$2,750 ",11/21/2022,02/23/2023,92,Miami,FL,33156,DOWNTOWN DADELAND CONDO N,2,2
A11328560,"$3,950 ","$3,950 ",$0 ,0.00%,"1,107",3.57,01/17/2023,02/16/2023,30,2008,Yes,No,Yes,2,"$3,950 ",01/17/2023,02/22/2023,13,Miami,FL,33130,THE AXIS ON BRICKELL II C,2,2
A11254723,"$5,900 ","$4,500 ","$1,400 ",23.73%,"1,028",4.38,08/10/2022,02/15/2023,189,2017,Yes,No,Yes,1,"$4,500 ",08/10/2022,02/15/2023,123,Miami,FL,33131,1010 BRICKELL CONDO,2,2
A11328078,"$4,200 ","$4,200 ",$0 ,0.00%,910,4.62,01/16/2023,02/15/2023,30,2015,No,No,Yes,1,"$4,200 ",01/16/2023,02/15/2023,16,Miami,FL,33130,1100 MILLECENTO RESIDENCE,2,2
A11325863,"$4,300 ","$4,000 ",$300 ,6.98%,"1,322",3.03,01/11/2023,02/15/2023,35,2007,Yes,No,Yes,1,"$4,300 ",02/01/2023,02/23/2023,14,Miami,FL,33132,50 BISCAYNE CONDO,2,2
A11289062,"$3,000 ","$2,650 ",$350 ,11.67%,955,2.77,10/15/2022,02/15/2023,123,2006,No,No,No,1,"$2,750 ",10/15/2022,02/15/2023,96,Miami,FL,33126,MEDITERRANEA CONDO,2,2
A11315458,"$4,100 ","$3,950 ",$150 ,3.66%,"1,024",3.86,12/14/2022,02/15/2023,63,2008,Yes,No,Yes,2,"$4,100 ",12/14/2022,02/15/2023,40,Miami,FL,33130,THE AXIS ON BRICKELL II C,2,2
A11331088,"$4,800 ","$4,500 ",$300 ,6.25%,"1,154",3.9,01/21/2023,02/14/2023,24,2007,Yes,Yes,No,1,"$4,800 ",01/21/2023,02/14/2023,2,Miami,FL,33132,1800 CLUB CONDO,2,2
A11328146,"$4,500 ","$4,200 ",$300 ,6.67%,"1,271",3.3,01/16/2023,02/14/2023,29,2010,Yes,No,No,1,"$4,500 ",01/16/2023,02/14/2023,29,Miami,FL,33130,MINT CONDO,2,2
A11326417,"$4,800 ","$4,400 ",$400 ,8.33%,"1,123",3.92,01/12/2023,02/13/2023,32,2008,Yes,No,Yes,1,"$4,800 ",01/12/2023,03/02/2023,32,Miami,FL,33131,500 BRICKELL WEST CONDO,2,2
A11305326,"$3,800 ","$3,700 ",$100 ,2.63%,"1,009",3.67,11/18/2022,02/13/2023,87,2017,Yes,No,Yes,1,"$3,700 ",02/01/2023,02/13/2023,73,Miami,FL,33131,BRICKELL TEN,2,2
A11318624,"$2,800 ","$2,600 ",$200 ,7.14%,"1,125",2.31,12/22/2022,02/13/2023,53,2006,No,No,No,2,"$2,600 ",01/23/2023,02/13/2023,33,Miami,FL,33126,KEYSTONE PARK CONDO,2,2
A11314650,"$4,500 ","$4,200 ",$300 ,6.67%,"1,250",3.36,12/12/2022,02/13/2023,63,2010,Yes,Yes,Yes,1,"$4,500 ",01/13/2023,02/13/2023,16,Miami,FL,33130,MINT CONDOMINIUM,2,2
A11302567,"$3,100 ","$3,100 ",$0 ,0.00%,963,3.22,11/13/2022,02/13/2023,92,2005,Yes,Yes,Yes,1,"$3,100 ",12/01/2022,02/13/2023,69,Miami,FL,33137,THE YORKER CONDO,2,2
A11323720,"$4,500 ","$3,850 ",$650 ,14.44%,852,4.52,01/06/2023,02/10/2023,35,2017,No,No,Yes,0,"$4,000 ",02/01/2023,02/13/2023,21,Miami,FL,33130,BRICKELL HEIGHTS EAST CON,2,2
A11333524,"$3,900 ","$3,850 ",$50 ,1.28%,"1,145",3.36,01/26/2023,02/10/2023,15,2006,Yes,Yes,Yes,1,"$3,900 ",01/26/2023,02/10/2023,11,Miami,FL,33131,SOLARIS AT BRICKELL BAY C,2,2
A11325573,"$4,000 ","$4,000 ",$0 ,0.00%,"1,013",3.95,01/11/2023,02/10/2023,30,2008,Yes,No,No,1,"$4,000 ",02/01/2023,02/10/2023,18,Miami,FL,33130,THE AXIS ON BRICKELL COND,2,2
A11327589,"$3,600 ","$3,500 ",$100 ,2.78%,"1,169",2.99,01/14/2023,02/09/2023,26,2005,Yes,Yes,No,1,"$3,600 ",02/01/2023,02/09/2023,22,Miami,FL,33131,ONE MIAMI EAST CONDO,2,2
A11303628,"$4,500 ","$4,150 ",$350 ,7.78%,"1,380",3.01,11/15/2022,02/09/2023,86,2006,Yes,No,No,1,"$4,200 ",11/15/2022,02/23/2023,80,Miami,FL,33137,PLATINUM CONDO,2,2
A11293717,"$3,300 ","$3,000 ",$300 ,9.09%,"1,247",2.41,10/25/2022,02/08/2023,106,2007,Yes,No,No,2,"$3,100 ",11/01/2022,02/09/2023,107,Miami,FL,33145,CATALONIA CONDO,2,2
A11325887,"$3,000 ","$3,000 ",$0 ,0.00%,"1,025",2.93,01/18/2023,02/07/2023,20,2007,No,No,Yes,1,"$3,000 ",02/01/2023,02/12/2023,9,Miami,FL,33130,PARKVIEW AT BRICKELL COND,2,2
A11325703,"$3,900 ","$3,850 ",$50 ,1.28%,"1,093",3.52,01/11/2023,02/06/2023,26,2008,Yes,No,Yes,1,"$3,800 ",02/14/2023,02/06/2023,26,Miami,FL,33130,IVY CONDO,2,2
A11304224,"$4,000 ","$3,800 ",$200 ,5.00%,"1,169",3.25,12/01/2022,02/06/2023,67,2005,Yes,Yes,No,1,"$3,800 ",01/01/2023,02/06/2023,67,Miami,FL,33131,ONE MIAMI WEST CONDO,2,2
A11326386,"$3,350 ","$3,350 ",$0 ,0.00%,"1,006",3.33,01/12/2023,02/05/2023,24,2008,Yes,No,Yes,1,"$3,350 ",01/12/2023,02/07/2023,8,Miami,FL,33132,VIZCAYNE NORTH CONDO,2,2
A11307177,"$4,300 ","$3,950 ",$350 ,8.14%,868,4.55,12/09/2022,02/03/2023,56,2016,Yes,No,No,1,"$3,950 ",01/15/2023,02/14/2023,48,Miami,FL,33130,1300 S MIAMI AVENUE CONDO,2,2
A11328512,"$3,300 ","$3,300 ",$0 ,0.00%,842,3.92,01/17/2023,02/02/2023,16,2014,Yes,No,No,0,"$3,300 ",02/01/2023,02/03/2023,9,Miami,FL,33131,MYBRICKELL CONDO,2,2
A11306978,"$3,900 ","$3,000 ",$900 ,23.08%,"1,255",2.39,11/23/2022,02/02/2023,71,2006,Yes,Yes,No,1,"$3,300 ",11/23/2022,02/03/2023,61,Miami,FL,33130,NEO VERTIKA CONDO,2,2
A11303074,"$4,200 ","$3,900 ",$300 ,7.14%,"1,012",3.85,11/15/2022,02/02/2023,79,2008,Yes,No,No,1,"$4,000 ",12/01/2022,02/03/2023,80,Miami,FL,33130,THE AXIS ON BRICKELL II C,2,2
A11274126,"$4,000 ","$3,500 ",$500 ,12.50%,"1,088",3.22,09/16/2022,02/01/2023,138,2008,Yes,No,Yes,1,"$3,700 ",09/16/2022,02/01/2023,129,Miami,FL,33131,1060 BRICKELL CONDO,2,2
A11313331,"$4,000 ","$4,000 ",$0 ,0.00%,868,4.61,12/08/2022,02/01/2023,55,2016,Yes,No,Yes,1,"$4,000 ",12/12/2022,02/02/2023,19,Miami,FL,33130,1300 S MIAMI AVENUE CONDO,2,2
A11311599,"$4,500 ","$4,300 ",$200 ,4.44%,"1,374",3.13,12/05/2022,02/01/2023,58,2007,Yes,Yes,No,1,"$4,500 ",12/05/2022,02/03/2023,53,Miami,FL,33132,1800 CLUB CONDO,2,2
A11307199,"$4,200 ","$4,100 ",$100 ,2.38%,"1,146",3.58,11/23/2022,02/01/2023,70,2008,Yes,No,No,1,"$4,200 ",11/24/2022,02/28/2023,44,Miami,FL,33131,500 BRICKELL EAST CONDO,2,2
A11315665,"$2,950 ","$2,800 ",$150 ,5.08%,"1,123",2.49,12/01/2022,02/01/2023,62,2008,Yes,Yes,No,1,"$2,850 ",12/14/2022,02/09/2023,56,Miami,FL,33137,EDGEWATER LOFTS CONDO,2,2
F10361292,"$3,800 ","$3,950 ",($150),-3.95%,"1,099",3.59,12/27/2022,02/01/2023,36,2010,No,No,No,0,"$3,950 ",12/20/2022,02/02/2023,21,Miami,FL,33130,MINT CONDO,2,2
A11298464,"$5,100 ","$4,300 ",$800 ,15.69%,"1,141",3.77,11/04/2022,02/01/2023,89,2018,Yes,No,No,1,"$5,100 ",11/08/2022,02/01/2023,89,Miami,FL,33137,PARAISO BAYVIEWS CONDO,2,2
A11325397,"$3,200 ","$3,200 ",$0 ,0.00%,"1,087",2.94,01/11/2023,02/01/2023,21,2010,Yes,No,Yes,2,"$3,200 ",01/20/2023,02/01/2023,21,Miami,FL,33125,TERRAZAS RIVERPARK VILLAG,2,2
A11308363,"$4,200 ","$4,000 ",$200 ,4.76%,"1,120",3.57,12/02/2022,02/01/2023,61,2008,Yes,No,No,1,"$4,200 ",02/01/2023,02/01/2023,38,Miami,FL,33131,THE PLAZA 901 BRICKELL CO,2,2
A11303302,"$4,400 ","$4,100 ",$300 ,6.82%,986,4.16,11/15/2022,02/01/2023,78,2008,Yes,No,Yes,1,"$4,400 ",01/31/2023,02/14/2023,36,Miami,FL,33131,THE PLAZA 950 BRICKELL CO,2,2
A11296131,"$3,700 ","$3,500 ",$200 ,5.41%,935,3.74,10/31/2022,02/01/2023,93,2008,Yes,Yes,Yes,2,"$3,500 ",10/31/2022,02/02/2023,67,Miami,FL,33130,WIND CONDO,2,2
A11326526,"$4,100 ","$4,000 ",$100 ,2.44%,880,4.55,01/12/2023,01/31/2023,19,2018,Yes,No,Yes,1,"$4,100 ",01/23/2023,01/31/2023,19,Miami,FL,33132,CANVAS CONDO,2,2
F10361450,"$3,200 ","$3,200 ",$0 ,0.00%,"1,036",3.09,12/28/2022,01/31/2023,34,2007,No,No,Yes,1,"$3,200 ",02/06/2023,02/14/2023,19,Miami,FL,33132,THE LOFT DOWNTOWN II COND,2,2
A11317240,"$3,750 ","$3,700 ",$50 ,1.33%,"1,120",3.3,12/20/2022,01/31/2023,42,2008,No,No,Yes,0,"$3,750 ",12/19/2022,02/03/2023,28,Miami,FL,33131,THE PLAZA 901 BRICKELL CO,2,2
A11318121,"$4,100 ","$4,000 ",$100 ,2.44%,"1,006",3.98,12/21/2022,01/30/2023,40,2008,Yes,Yes,No,1,"$4,100 ",12/22/2022,02/17/2023,9,Miami,FL,33131,MET 1 CONDO,2,2
A11301113,"$4,700 ","$4,500 ",$200 ,4.26%,"1,170",3.85,11/09/2022,01/30/2023,82,2016,Yes,Yes,Yes,1,"$4,600 ",12/05/2022,01/30/2023,82,Miami,FL,33137,THE CRIMSON CONDOMINIUM,2,2
A11297697,"$4,100 ","$3,900 ",$200 ,4.88%,"1,013",3.85,11/02/2022,01/27/2023,86,2008,Yes,No,No,1,"$3,900 ",11/07/2022,02/02/2023,82,Miami,FL,33130,AXIS ON BRICKELL SOUTH,2,2
A11318032,"$3,500 ","$3,250 ",$250 ,7.14%,940,3.46,12/21/2022,01/24/2023,34,2008,Yes,No,No,0,"$3,500 ",12/20/2022,01/24/2023,20,Miami,FL,33132,VIZCAYNE SOUTH CONDO,2,2
A11344705,"$4,200 ","$4,000 ",$200 ,4.76%,"1,145",3.49,12/01/2022,01/23/2023,53,2005,No,Yes,Yes,1,"$4,200 ",01/01/2023,02/17/2023,,Miami,FL,33131,ONE MIAMI EAST CONDO,2,2
A11296284,"$2,900 ","$2,900 ",$0 ,0.00%,"1,000",2.9,10/31/2022,01/20/2023,81,2008,No,No,No,0,"$2,900 ",11/01/2022,02/07/2023,31,Miami,FL,33156,DOWNTOWN DADELAND CONDO N,2,2
A11281933,"$3,995 ","$3,650 ",$345 ,8.64%,"1,068",3.42,09/29/2022,01/20/2023,113,2008,Yes,No,Yes,1,"$3,800 ",12/01/2022,01/23/2023,116,Miami,FL,33137,GALLERY ART CONDO,2,2
A11291110,"$4,150 ","$3,700 ",$450 ,10.84%,944,3.92,10/19/2022,01/20/2023,93,2018,Yes,No,Yes,1,"$3,700 ",12/08/2023,05/19/2023,78,Miami,FL,33137,PARAISO BAYVIEWS CONDO,2,2
A11293162,"$4,500 ","$4,250 ",$250 ,5.56%,"1,084",3.92,10/24/2022,01/20/2023,88,2018,Yes,No,Yes,1,"$4,250 ",10/26/2022,01/20/2023,88,Miami,FL,33137,PARAISO DISTRICT,2,2
A11311087,"$3,700 ","$3,550 ",$150 ,4.05%,920,3.86,12/05/2022,01/20/2023,46,2008,No,No,No,1,"$3,600 ",01/01/2023,01/21/2023,36,Miami,FL,33130,WIND CONDO,2,2
A11318970,"$3,750 ","$3,650 ",$100 ,2.67%,"1,178",3.1,12/23/2022,01/19/2023,27,2005,Yes,Yes,No,1,"$3,750 ",12/23/2022,01/20/2023,28,Miami,FL,33131,ONE MIAMI EAST CONDO,2,2
A11297382,"$3,990 ","$3,990 ",$0 ,0.00%,924,4.32,11/04/2022,01/18/2023,75,2017,Yes,No,Yes,1,"$3,990 ",01/01/2023,01/20/2023,10,Miami,FL,33130,BRICKELL HEIGHTS EAST CON,2,2
A11319634,"$4,000 ","$3,950 ",$50 ,1.25%,"1,110",3.56,12/27/2022,01/18/2023,22,2010,Yes,Yes,No,1,"$4,000 ",12/28/2022,01/18/2023,22,Miami,FL,33130,MINT CONDO,2,2
A11303778,"$2,600 ","$2,550 ",$50 ,1.92%,807,3.16,11/15/2022,01/18/2023,64,2006,No,No,No,2,"$2,500 ",01/05/2023,01/31/2023,55,Miami,FL,33125,RIVER RUN SOUTH CONDO,2,2
A11300631,"$4,500 ","$4,200 ",$300 ,6.67%,"1,293",3.25,11/08/2022,01/18/2023,71,2008,Yes,Yes,No,1,"$4,500 ",11/08/2022,02/01/2023,85,Miami,FL,33132,VIZCAYNE NORTH CONDO,2,2
A11318669,"$4,000 ","$4,000 ",$0 ,0.00%,"1,327",3.01,12/22/2022,01/17/2023,26,2008,Yes,No,No,1,"$4,000 ",12/22/2022,02/22/2023,12,Miami,FL,33137,FOUR MIDTOWN MIAMI CONDO,2,2
F10359975,"$3,200 ","$3,000 ",$200 ,6.25%,"1,127",2.66,12/06/2022,01/17/2023,42,2007,Yes,No,Yes,2,"$3,000 ",01/15/2023,01/19/2023,44,Miami,FL,33145,THE LUXOR,2,2
A11308382,"$4,450 ","$4,200 ",$250 ,5.62%,"1,363",3.08,11/20/2022,01/17/2023,58,2008,Yes,Yes,Yes,1,"$4,450 ",11/20/2022,01/31/2023,72,Miami,FL,33132,VIZCAYNE NORTH CONDO,2,2
A11294593,"$4,500 ","$3,700 ",$800 ,17.78%,"1,096",3.38,10/27/2022,01/16/2023,81,2015,Yes,No,Yes,1,"$3,800 ",10/27/2022,01/17/2023,61,Miami,FL,33130,NINE AT MARY BRICKELL VIL,2,2
A11296621,"$4,100 ","$3,900 ",$200 ,4.88%,"1,088",3.58,10/25/2022,01/15/2023,82,2008,No,No,No,1,"$4,100 ",12/01/2022,01/17/2023,55,Miami,FL,33131,1060 BRICKELL CONDO,2,2
A11307620,"$2,900 ","$2,800 ",$100 ,3.45%,"1,064",2.63,11/26/2022,01/15/2023,50,2008,Yes,No,Yes,1,"$2,900 ",01/01/2023,08/07/2023,17,Miami,FL,33156,DOWNTOWN DADELAND CONDO N,2,2
A11319866,"$4,000 ","$4,000 ",$0 ,0.00%,"1,215",3.29,12/27/2022,01/15/2023,19,2007,Yes,No,Yes,1,"$4,000 ",01/16/2023,01/16/2023,9,Miami,FL,33137,Midblock Miami Condo,2,2
